어선번호,어선명,선적항,위도,경도,지점명,지점번호,기준항
4080036483106,세양호,경남 통영시,34.854254,128.433205,거제도,22104,
97101066482201,평화호,경남 통영시,34.854254,128.433205,거제도,22104,
12020026264401,성만호,경남 통영시,34.854254,128.433205,거제도,22104,
98030186482201,삼광호,경남 통영시,34.854254,128.433205,거제도,22104,
17110066482208,전진피싱호,경남 통영시,34.854254,128.433205,거제도,22104,
13080096482200,제213서창호,경남 통영시,34.854254,128.433205,거제도,22104,
19030046482203,유빈호,경남 통영시,34.854254,128.433205,거제도,22104,
2010176482207,제7민성호,경남 통영시,34.854254,128.433205,거제도,22104,
4050046263803,207동신,경남 통영시,34.854254,128.433205,거제도,22104,
2100046497108,제301신태양호,경남 통영시,34.854254,128.433205,거제도,22104,
2100096482208,제836다건호,경남 통영시,34.854254,128.433205,거제도,22104,
15120086461301,태현호,경남 통영시,34.854254,128.433205,거제도,22104,
97010026482205,흥성호,경남 통영시,34.854254,128.433205,거제도,22104,
95090066491306,제707수현호,경남 통영시,34.854254,128.433205,거제도,22104,
3120166481606,광성호,경남 통영시,34.854254,128.433205,거제도,22104,
15060096482200,다온호,경남 통영시,34.854254,128.433205,거제도,22104,
19050126482209,청진호,경남 통영시,34.854254,128.433205,거제도,22104,
20010066482202,제37덕신호,경남 통영시,34.854254,128.433205,거제도,22104,
95024246482207,문성호,경남 통영시,34.854254,128.433205,거제도,22104,
13070066461308,제27태영호,경남 통영시,34.854254,128.433205,거제도,22104,
13080056482204,뉴청용호,경남 통영시,34.854254,128.433205,거제도,22104,
19050116482200,용승호,경남 통영시,34.854254,128.433205,거제도,22104,
13030016482404,제501덕일호,경남 통영시,34.854254,128.433205,거제도,22104,
2010176482207,금성호,경남 통영시,34.854254,128.433205,거제도,22104,
2060056482201,제2006정성호,경남 통영시,34.854254,128.433205,거제도,22104,
7120066483108,동성호,경남 통영시,34.854254,128.433205,거제도,22104,
21060046482202,제2021흥진호,경남 통영시,34.854254,128.433205,거제도,22104,
